raw_row_number,date,time,location,lat,lng,geocode_source,beat,district,subject_age,subject_race,subject_sex,officer_id_hash,officer_age,officer_race,officer_sex,officer_years_of_service,unit,type,violation,arrest_made,citation_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,contraband_alcohol,contraband_other,search_conducted,search_person,search_vehicle,vehicle_make,vehicle_model,raw_race,raw_driver_race
1404758,2019-02-05,20:48:00,106XX S HALSTED ST,41.8801770000001,-87.6475394999999,SU,2233,22,31,black,male,,,,,,22,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET/MALIBU (CHEVELLE),CHEVROLET/MALIBU (CHEVELLE),BLACK,
208909,2016-11-23,12:00:00,1536 MANNHEIM ROAD S,41.9576864870001,-87.884107086,SU,,,39,hispanic,female,,,,,,,vehicular,DRIVING ON SUSPENDED LICENSE,TRUE,,arrest,,,,FALSE,,FALSE,FALSE,FALSE,,,HISPANIC,
268278,2015-10-25,19:00:00,3158 ROOSEVELT RD W,41.866722,-87.70542,GM,,,,,male,,,hispanic,male,2,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1594676,2019-05-21,14:29:00,52XX N SHERIDAN RD,41.9572212640001,-87.6546139,SU,2023,20,79,black,female,,,,,,20,vehicular,STOP AT STOP SIGN,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,CRUZE,BLACK,
1438809,2019-02-24,11:19:00,48XX W DIVISION ST,41.9040097160001,-87.630324035,SU,1531,15,25,black,male,,,,,,213,vehicular,BROKEN/INOPERABLE LAMPS,,,,,,,FALSE,,FALSE,FALSE,FALSE,TOYOTA/RAV4,TOYOTA/RAV4,BLACK,
2089966,2020-03-17,10:16:00,76XX S YATES BLVD,41.7153380140001,-87.564591,SU,421,4,47,black,female,,,,,,4,vehicular,"LIGHT, TAIL LIGHTS REQUIRED",,,,,,,FALSE,,FALSE,FALSE,FALSE,HONDA,PILOT,BLACK,
1612759,2019-05-31,16:48:00,20XX W GARFIELD BLVD,41.7947118180001,-87.62663132,SU,932,9,25,hispanic,male,,,,,,9,vehicular,BROKEN/INOPERABLE LAMPS,,,,,,,FALSE,,FALSE,FALSE,FALSE,BMW,530I,HISPANIC,
783007,2012-11-17,04:00:00,369 75TH ST E,41.7581765,-87.6154385,GM,,,,,male,,,hispanic,male,3,,vehicular,DISPLAY ST REG-FRONT/REAR,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1963072,2020-01-04,20:10:00,22XX S WENTWORTH AVE,41.783440558,-87.630198251,SU,914,9,35,,male,,,,,,9,vehicular,U-TURN 100FT INTERSECTION,,,,,,,FALSE,,FALSE,FALSE,FALSE,MAZDA,CX-7,ASIAN,
1855968,2019-10-21,16:20:00,XX W 71ST ST,41.765313624,-87.637994625,SU,731,7,37,black,male,,,,,,7,vehicular,DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,UNKNOWN,BLACK,
407619,2014-03-29,04:00:00,630 ORLEANS ST N,41.8933523,-87.637406,GM,,,,,male,,,black,female,14,,vehicular,U-TURN 100FT INTERSECTION,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1506294,2019-04-01,15:34:00,76XX S COTTAGE GROVE AVE,41.7001411140001,-87.608183423,SU,624,6,37,black,female,,,,,,6,vehicular,REGISTRATION PLATES,,,,,,,FALSE,,FALSE,FALSE,FALSE,KIA MOTORS CORP,UNKNOWN,BLACK,
1355941,2019-01-06,23:46:00,3XX E 43RD ST,41.8164094420001,-87.626124832,SU,213,2,50,black,male,,,,,,2,vehicular,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,,,,,,FALSE,,FALSE,FALSE,FALSE,"TOYOTA MOTOR COMPANY, LTD.",4RUNNER,BLACK,
517171,2016-04-18,08:00:00,3556 PETERSON AVE W,41.990535,-87.718454,GM,,,,,male,,,black,male,22,,vehicular,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
638130,2014-02-22,20:00:00,230 CANAL ST S,41.8789058,-87.6395952,GM,,,,,female,,,black,male,24,,vehicular,UNINSURED MTR VEH,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
1405055,2019-02-06,00:29:00,52XX W FULLERTON AVE,41.9252310000001,-87.662095127,SU,2515,25,24,hispanic,male,,,,,,25,vehicular,BLUE LIGHTS/FLASHING OR OSCILLATING LIGHTS PROHIBITED,,,,,,,FALSE,,FALSE,FALSE,FALSE,HYUNDAI,UNKNOWN,HISPANIC,
747732,2016-02-09,11:00:00,6322 MORGAN ST S,41.7789809,-87.6499107,GM,,,,,male,,,hispanic,female,10,,vehicular,DRIVER/SEATBELT/CHILD 6<16,,TRUE,citation,,,,FALSE,,FALSE,FALSE,FALSE,,,,
933656,2018-03-11,14:12:00,56XX W CHICAGO AVE,41.8967327730001,-87.630417224,SU,1511,15,23,black,male,,,,,,15,vehicular,IVC - NOT WEARING SEAT BELT/DRIVER,,,,,,,FALSE,,FALSE,FALSE,FALSE,HYUNDAI,Santa Fe,BLACK,
1849295,2019-10-16,17:47:00,1XX W 71ST ST,41.765304255,-87.624984458,SU,731,7,28,black,male,,,,,,7,vehicular,DISPLAY ST REG-FRONT/REAR,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHEVROLET,UNKNOWN,BLACK,
1464986,2019-03-09,22:43:00,89XX S STONY ISLAND AVE,41.7208961520001,-87.585130482,SU,413,4,22,black,male,,,,,,4,vehicular,DOUBLE PARKING/NO STANDING,,,,,,,FALSE,,FALSE,FALSE,FALSE,CHRYSLER,300,BLACK,
